greenPpg,irPpg,wristTimeMSec
78974.25,900613.9,33182.06
78966.69,900557.2,33182.1
78952.03,900370.1,33182.14
78984.97,900244.75,33182.18
78981.445,900350.7,33182.22
79005.336,900429.2,33182.26
79045.13,900446.1,33182.3
79071.64,900566.5,33182.34
79073.44,900747.3,33182.38
79030.7,900772.4,33182.418
78962.016,900845.25,33182.46
78932.46,900475.0,33182.5
78898.67,900036.4,33182.54
78889.67,899861.4,33182.58
78887.24,900053.6,33182.62
78874.45,900188.44,33182.66
78875.945,900434.2,33182.7
78889.195,900775.7,33182.74
78918.555,901019.7,33182.78
78933.94,900968.4,33182.82
78943.42,901038.5,33182.86
78978.18,901234.3,33182.9
78998.555,901555.7,33182.94
79037.555,901861.44,33182.98
79087.18,902268.75,33183.02
79080.73,902443.56,33183.06
79033.19,902552.4,33183.1
78979.71,902561.7,33183.14
78951.39,902468.56,33183.18
78933.84,902350.8,33183.22
78943.14,902384.2,33183.26
78985.11,902624.06,33183.3
78996.26,902930.75,33183.34
79012.555,903210.0,33183.38
79035.58,903517.56,33183.418
79065.484,903689.25,33183.46
79101.125,903737.5,33183.5
79135.0,903846.06,33183.54
79165.63,904123.5,33183.58
79228.484,904353.1,33183.62
79255.586,904679.56,33183.66
79334.41,904980.7,33183.7
79336.64,905167.06,33183.74
79369.94,905287.6,33183.78
79345.234,905457.4,33183.82
79335.75,905397.75,33183.86
79328.125,905069.44,33183.9
79325.2,904867.44,33183.94
79327.234,904872.0,33183.98
79395.56,904995.0,33184.02
79446.03,905006.8,33184.06
79475.11,905082.3,33184.1
79505.31,905158.6,33184.14
79531.49,905060.0,33184.18
79567.14,904979.06,33184.22
79619.62,904933.3,33184.26
79691.234,904980.44,33184.3
79740.016,905041.25,33184.34
79783.96,905021.0,33184.38
79848.88,905051.25,33184.418
79891.625,905166.25,33184.46
79921.0,905032.2,33184.5
79911.5,905010.1,33184.54
79922.82,904938.8,33184.58
79942.766,904647.44,33184.62
79993.05,904340.2,33184.66
80024.92,904344.56,33184.7
80067.195,904481.5,33184.74
80120.734,904503.44,33184.78
80159.805,904626.8,33184.82
80206.984,904751.25,33184.86
80253.55,904678.75,33184.9
80310.14,904710.06,33184.94
80360.51,904803.75,33184.98
80391.7,905044.3,33185.02
80457.58,905049.56,33185.06
80513.766,905221.75,33185.1
80546.96,905605.94,33185.14
80626.03,905884.8,33185.18
80655.41,906238.56,33185.22
80642.2,906606.9,33185.26
80677.805,906718.7,33185.3
80707.06,906624.75,33185.34
80757.8,906732.75,33185.38
80799.13,907005.9,33185.418
80843.484,907259.56,33185.46
80875.06,907544.5,33185.5
80945.375,907810.75,33185.54
80983.25,908025.2,33185.58
81022.4,908119.9,33185.62
81089.5,908242.56,33185.66
81153.164,908440.7,33185.7
81193.8,908630.5,33185.74
81236.95,908841.75,33185.78
81325.984,909168.5,33185.82
81339.766,909465.1,33185.86
81363.2,909731.25,33185.9
81364.53,909937.5,33185.94
81425.164,910041.5,33185.98
81430.016,909912.0,33186.02
81445.12,909715.25,33186.06
81484.195,909760.1,33186.1
81538.055,910015.9,33186.14
81585.23,910202.7,33186.18
81599.19,910510.7,33186.22
81635.95,910631.75,33186.26
81702.74,910679.3,33186.3
81717.12,910618.1,33186.34
81752.59,910511.4,33186.38
81811.016,910488.1,33186.418
81872.12,910380.4,33186.46
81905.8,910397.4,33186.5
81942.82,910465.2,33186.54
81983.45,910455.94,33186.58
82004.24,910453.4,33186.62
82026.46,910302.9,33186.66
82042.836,910354.75,33186.7
82071.05,910315.2,33186.74
82089.29,909909.1,33186.78
82112.12,909495.1,33186.82
82120.63,909243.94,33186.86
82153.38,909158.3,33186.9
82177.11,908944.94,33186.94
82196.44,908715.3,33186.98
82224.875,908468.9,33187.02
82277.99,908187.1,33187.06
82304.25,907901.44,33187.1
82306.58,907735.3,33187.14
82350.375,907488.2,33187.18
82390.24,907032.1,33187.22
82426.484,906537.56,33187.26
82444.51,906127.94,33187.3
82482.05,905731.94,33187.34
82475.766,905423.8,33187.38
82475.38,905214.44,33187.418
82476.32,904899.25,33187.46
82463.22,904377.94,33187.5
82481.51,903973.3,33187.54
82491.31,903636.56,33187.58
82514.375,903381.25,33187.62
82520.35,903157.2,33187.66
82537.375,902888.3,33187.7
82584.734,902730.0,33187.74
82580.15,902524.0,33187.78
82613.58,902179.8,33187.82
82635.945,902012.7,33187.86
82636.75,901679.5,33187.9
82677.68,901297.94,33187.94
82696.61,901251.25,33187.98
82721.445,901277.0,33188.02
82707.07,901232.9,33188.06
82694.19,901347.0,33188.1
82681.945,901500.4,33188.14
82677.805,901225.56,33188.18
82655.06,900975.7,33188.22
82677.734,900941.4,33188.26
82657.14,901243.6,33188.3
82659.45,901424.7,33188.34
82678.695,901805.8,33188.38
82678.58,902564.4,33188.418
82694.31,902846.56,33188.46
82721.11,902759.4,33188.5
82705.82,902955.1,33188.54
82747.35,903251.25,33188.58
82774.734,903526.5,33188.62
82756.39,903867.5,33188.66
82785.33,904147.5,33188.7
82784.26,904614.94,33188.74
82725.95,905111.5,33188.78
82694.21,905469.4,33188.82
82678.18,905396.7,33188.86
82644.445,905277.75,33188.9
82624.2,905353.5,33188.94
82638.734,905674.25,33188.98
82619.37,905951.7,33189.02
82592.82,906177.94,33189.06
82613.9,906602.2,33189.1
82588.7,906850.0,33189.14
82597.266,906986.8,33189.18
82601.555,907176.5,33189.22
82587.51,907496.06,33189.26
82631.164,908001.4,33189.3
82647.62,908373.1,33189.34
82639.016,908642.7,33189.38
82631.89,908990.2,33189.418
82649.03,909482.9,33189.46
82684.664,910257.2,33189.5
82641.24,910755.7,33189.54
82583.125,911001.56,33189.58
82505.58,910991.56,33189.62
82485.445,910999.2,33189.66
82361.445,910998.8,33189.7
82343.56,911246.75,33189.74
82325.94,911557.7,33189.78
82302.805,911858.2,33189.82
82280.28,912248.4,33189.86
82261.87,912439.44,33189.9
82241.5,912544.06,33189.94
82201.695,912607.06,33189.98
82218.05,912941.7,33190.02
82190.875,913379.94,33190.06
82197.55,913675.0,33190.1
82207.29,913967.25,33190.14
82223.67,914288.94,33190.18
82227.32,914818.44,33190.22
82242.33,915188.75,33190.258
82207.625,915305.75,33190.3
82135.22,915600.56,33190.34
82084.81,915884.4,33190.38
82000.49,915977.94,33190.418
81922.625,915840.56,33190.46
81858.76,915644.6,33190.5
81836.05,915807.2,33190.54
81788.66,915883.4,33190.58
81774.44,915979.3,33190.62
81748.49,916251.75,33190.66
81701.15,916426.7,33190.7
81692.266,916500.2,33190.74
81681.76,916328.75,33190.78
81675.27,916260.9,33190.82
81683.58,916137.75,33190.86
81704.125,916126.4,33190.9
81700.69,915946.2,33190.94
81702.44,915693.44,33190.98
81714.94,915512.0,33191.02
81724.914,915429.75,33191.06
81748.375,915368.44,33191.1
81723.75,915362.2,33191.14
81638.016,915366.0,33191.18
81563.625,915362.9,33191.22
81484.93,915013.2,33191.258
81437.875,914506.94,33191.3
81392.586,914149.06,33191.34
81408.984,914007.8,33191.38
81362.77,913753.94,33191.418
81358.11,913519.5,33191.46
81336.57,913242.0,33191.5
81320.93,912926.94,33191.54
81328.04,912633.7,33191.58
81320.17,912374.56,33191.62
81340.55,912174.56,33191.66
81348.414,912007.7,33191.7
81362.25,911904.75,33191.74
81364.26,911599.6,33191.78
81402.59,911463.0,33191.82
81390.984,911407.8,33191.86
81362.75,911195.75,33191.9
81309.62,911358.0,33191.94
81236.51,911343.0,33191.98
81174.875,911058.25,33192.02
81139.31,910819.6,33192.06
81118.31,910787.25,33192.1
81115.375,910771.4,33192.14
81107.89,910865.0,33192.18
81100.85,910871.1,33192.22
81078.766,911011.7,33192.258
81079.76,911106.56,33192.3
81081.195,911417.75,33192.34
81083.71,911469.25,33192.38
81102.46,911617.4,33192.418
81123.69,911773.94,33192.46
81068.88,911849.1,33192.5
81183.56,911903.7,33192.54
81190.94,912009.75,33192.58
81161.01,912204.5,33192.62
81139.484,912634.56,33192.66
81089.84,912998.75,33192.7
81022.89,912865.4,33192.74
80984.88,912884.8,33192.78
80987.07,913088.8,33192.82
80995.14,913229.94,33192.86
80995.19,913176.44,33192.9
81008.13,913353.4,33192.94
80995.7,913497.1,33192.98
81008.26,913533.8,33193.02
81007.39,913610.3,33193.06
81046.61,913743.0,33193.1
81062.64,913785.8,33193.14
81080.62,913877.3,33193.18
81143.97,913932.3,33193.22
81134.61,914211.0,33193.258
81176.695,914473.56,33193.3
81161.62,914684.94,33193.34
81115.03,915102.56,33193.38
81068.49,915511.1,33193.418
81015.12,915713.3,33193.46
80977.016,915827.0,33193.5
80969.89,915860.4,33193.54
80972.74,916115.1,33193.58
80986.305,916392.2,33193.62
80983.42,916650.25,33193.66
81000.35,917076.4,33193.7
80996.74,917465.7,33193.74
81004.18,917605.1,33193.78
81018.31,917842.8,33193.82
81036.375,918113.4,33193.86
81080.94,918593.4,33193.9
81088.69,918861.3,33193.94
81138.74,919073.1,33193.98
81137.26,919120.6,33194.02
81158.836,919400.25,33194.06
81217.08,919610.44,33194.1
81188.125,919769.6,33194.14
81149.56,919911.8,33194.18
81103.945,919936.1,33194.22
81028.164,919849.25,33194.258
81007.9,919800.4,33194.3
80995.14,919974.3,33194.34
81004.69,920333.6,33194.38
81011.58,920610.25,33194.418
80999.0,920665.3,33194.46
