HR,HR_Confidence,IBI,IBI_Confidence
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,1080.972656,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,2658.116455,10
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,2026.329468,10
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,774.643799,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,777.684387,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,769.979065,50
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.786308,99.999855,699.84491,100
71.88131,99.999863,0.0,0
71.971565,99.99987,0.0,0
72.057304,99.99987,0.0,0
72.138756,99.999878,0.0,0
72.216133,99.999886,0.0,0
72.289642,99.999893,0.0,0
72.359474,99.999901,0.0,0
72.425819,99.999901,0.0,0
72.488846,99.999908,0.0,0
72.548721,99.999916,0.0,0
72.605606,99.999924,0.0,0
72.659645,99.999924,0.0,0
72.710983,99.999924,0.0,0
72.75975,99.999924,0.0,0
72.806084,99.999924,0.0,0
72.850098,99.999924,0.0,0
72.891907,99.999924,0.0,0
72.931625,99.999924,0.0,0
72.96936,99.999924,0.0,0
73.069359,99.999924,792.712891,100
73.16436,99.999924,0.0,0
73.254608,99.999924,0.0,0
73.34034,99.999924,0.0,0
73.421791,99.999924,0.0,0
73.499168,99.999924,0.0,0
73.572678,99.999924,0.0,0
73.642509,99.999924,0.0,0
73.708847,99.999924,0.0,0
73.771873,99.999924,0.0,0
73.831749,99.999924,0.0,0
73.888626,99.999924,0.0,0
73.942657,99.999924,0.0,0
73.993988,99.999924,0.0,0
74.042755,99.999924,0.0,0
74.089081,99.999924,0.0,0
74.133095,99.999924,0.0,0
74.174904,99.999924,0.0,0
74.274902,99.999924,803.148926,100
74.369904,99.999924,0.0,0
74.460152,99.999924,0.0,0
74.545891,99.999924,0.0,0
74.627342,99.999924,0.0,0
74.70472,99.999924,0.0,0
74.778229,99.999924,0.0,0
74.848061,99.999924,0.0,0
74.914406,99.999924,0.0,0
74.977432,99.999924,0.0,0
75.037308,99.999924,0.0,0
75.094185,99.999924,0.0,0
75.148224,99.999924,0.0,0
75.199554,99.999924,0.0,0
75.248322,99.999924,0.0,0
